,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
482,2020_04_25,-34.5976484,-58.4193913,https://departamento.mercadolibre.com.ar/MLA-847995201-2-ambientes-cordoba-avda-al-3700-_JM,"2 Ambientes | Cordoba, Avda. Al 3700",Departamento,25000.0,ARS,54,2
485,2020_04_25,-34.5988418,-58.3930921,https://departamento.mercadolibre.com.ar/MLA-848030429-alquiler-2-amb-recoleta-impecable-_JM,Alquiler 2 Amb Recoleta Impecable,Departamento,15000.0,ARS,30,2
486,2020_04_25,-34.6083547,-58.4000449,https://departamento.mercadolibre.com.ar/MLA-848042825-departamento-2-ambientes-congreso-todo-incluido-sin-comision-_JM,Departamento 2 Ambientes Congreso Todo Incluido Sin Comisión,Departamento,35500.0,ARS,48,2
491,2020_04_25,-34.5828227,-58.4322718,https://departamento.mercadolibre.com.ar/MLA-848446438-departamentos-alquiler-palermo-_JM,Departamentos Alquiler Palermo,Departamento,1150.0,USD,55,2
493,2020_04_25,-34.6159435,-58.3610148,https://departamento.mercadolibre.com.ar/MLA-848481438-departamentos-en-puerto-madero-100-equipados-con-balcon-_JM,"Departamentos En Puerto Madero - 100% Equipados, Con Balcón",Departamento,2300.0,ARS,65,2
495,2020_04_25,-34.5579201,-58.4792011,https://departamento.mercadolibre.com.ar/MLA-848537397-departamento-a-estrenar-2-ambientes-_JM,Departamento A Estrenar 2 Ambientes,Departamento,36000.0,ARS,70,2
497,2020_04_25,-34.6120059,-58.479468,https://departamento.mercadolibre.com.ar/MLA-848584904-2-amb-semipiso-lav-cocina-bno-balcon-entarugado-apto-prof-_JM,2 Amb Semipiso Lav-cocina-bño-balcon Entarugado Apto Prof.,Departamento,15000.0,ARS,45,2
499,2020_04_25,-34.6232535,-58.5043606,https://inmueble.mercadolibre.com.ar/MLA-848690685-dueno-directo-alquilo-departamento-tipo-ph-a-estrenar-_JM,Dueño Directo Alquilo Departamento Tipo Ph - A Estrenar,Ph,19999.0,ARS,35,2
502,2020_04_25,-34.5863439,-58.4400986,https://departamento.mercadolibre.com.ar/MLA-848999244-loft-duplex-palermo-hollywood-amoblado-alquiler-temporario-_JM,Loft  Duplex  Palermo Hollywood Amoblado Alquiler Temporario,Departamento,50000.0,ARS,69,2
504,2020_04_25,-34.6174369,-58.3623565,https://departamento.mercadolibre.com.ar/MLA-849205715-departamentos-alquiler-temporal-puerto-madero-_JM,Departamentos Alquiler Temporal Puerto Madero,Departamento,950.0,USD,59,2
508,2020_04_25,-34.5631267,-58.4402323,https://departamento.mercadolibre.com.ar/MLA-849497469-departamento-de-2-amplios-ambientes-apto-profesional-_JM,"Departamento De 2 Amplios Ambientes, Apto Profesional.",Departamento,22000.0,ARS,42,2
509,2020_04_25,-34.5776471,-58.4060644,https://departamento.mercadolibre.com.ar/MLA-849523584-alquiler-temporario-departamento-2-ambientes-recoleta-_JM,Alquiler Temporario Departamento 2 Ambientes Recoleta,Departamento,26900.0,ARS,42,2
