,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
450,2020_04_25,-34.6029486,-58.5048144,https://departamento.mercadolibre.com.ar/MLA-845671672-departamento-alquiler-3-ambientes-frente-balcon-y-cochera-villa-devoto-_JM,Departamento Alquiler 3 Ambientes Frente Balcón Y Cochera - Villa Devoto,Departamento,39000.0,ARS,0,3
452,2020_04_25,-34.6048936,-58.4261288,https://departamento.mercadolibre.com.ar/MLA-845677777-departamento-temporario-dia-semana-mes-mts-hpital-italiano-_JM,Departamento Temporario Dia Semana Mes Mts. Hpital Italiano,Departamento,1600.0,ARS,70,3
466,2020_04_25,-34.5621878,-58.4525547,https://departamento.mercadolibre.com.ar/MLA-846828061-arcos-1900-belgrano-alquiler-increible-penthouse-en-la-casa-del-angel-_JM,Arcos 1900 - Belgrano. Alquiler Increíble Penthouse En La Casa Del Angel.,Departamento,120000.0,ARS,200,3
469,2020_04_25,-34.6045547,-58.3802473,https://departamento.mercadolibre.com.ar/MLA-846842715-departamentos-alquiler-temporal-san-nicolas-_JM,Departamentos Alquiler Temporal San Nicolás,Departamento,30000.0,ARS,85,3
476,2020_04_25,-34.594181,-58.4446388,https://departamento.mercadolibre.com.ar/MLA-847519142-3-amb-d-u-e-n-o-frente-balcon-c-proteccion-subtemetrobus-_JM,"3 Amb D U E Ñ O Frente, Balcón C/ Proteccion Subte/metrobus",Departamento,22500.0,ARS,65,3
478,2020_04_25,-34.5858475,-58.3942152,https://departamento.mercadolibre.com.ar/MLA-847749830-alquiler-temporario-_JM,Alquiler Temporario,Departamento,50000.0,ARS,68,3
483,2020_04_25,-34.6105824,-58.3615739,https://departamento.mercadolibre.com.ar/MLA-848008702-departamentos-alquiler-temporal-puerto-madero-_JM,Departamentos Alquiler Temporal Puerto Madero,Departamento,4500.0,USD,140,3
487,2020_04_25,-34.5981537,-58.3972715,https://departamento.mercadolibre.com.ar/MLA-848122246-departamento-recoleta-consultorio-medico-ideal-tambien-inversor-para-renta-_JM,Departamento - Recoleta Consultorio Medico. Ideal Tambien Inversor Para Renta,Departamento,165000.0,USD,62,3
489,2020_04_25,-34.5506152,-58.4463265,https://departamento.mercadolibre.com.ar/MLA-848128557-3-amb-us-118-000-excelente-para-rentabajo-belgrano-_JM,3 Amb : U$s 118 000: Excelente  Para Renta!!bajo Belgrano:,Departamento,118000.0,USD,43,3
492,2020_04_25,-34.5654888,-58.4339417,https://departamento.mercadolibre.com.ar/MLA-848447042-departamentos-alquiler-temporal-palermo-_JM,Departamentos Alquiler Temporal Palermo,Departamento,1080.0,USD,110,3
500,2020_04_25,-34.6037903,-58.427078,https://departamento.mercadolibre.com.ar/MLA-848703327-alq-dto-de-3-ambientes-con-patio-terraza-muy-luminoso-_JM,Alq. Dto De 3 Ambientes Con Patio Terraza Muy Luminoso,Departamento,40000.0,ARS,80,3
505,2020_04_25,-34.6115386,-58.3621419,https://departamento.mercadolibre.com.ar/MLA-849205718-departamentos-alquiler-puerto-madero-_JM,Departamentos Alquiler Puerto Madero,Departamento,1400.0,USD,80,3
514,2020_04_25,-34.5763354,-58.4415223,https://departamento.mercadolibre.com.ar/MLA-849930788-alquiler-temporal-3-ambientes-palermo-hollywood-_JM,Alquiler Temporal 3 Ambientes Palermo Hollywood ,Departamento,40000.0,ARS,65,3
517,2020_04_25,-34.6129843,-58.3609278,https://departamento.mercadolibre.com.ar/MLA-850161072-alquilo-piso-torre-mulieris-amoblado-y-equipado-impecable-_JM,Alquilo Piso Torre Mulieris Amoblado Y Equipado Impecable!!,Departamento,2900.0,USD,172,3
519,2020_04_25,-34.583762,-58.420074,https://departamento.mercadolibre.com.ar/MLA-850250502-departamentos-alquiler-palermo-_JM,Departamentos Alquiler Palermo,Departamento,25000.0,ARS,68,3
521,2020_04_25,-34.583762,-58.420074,https://departamento.mercadolibre.com.ar/MLA-850252407-departamentos-alquiler-palermo-chico-_JM,Departamentos Alquiler Palermo Chico,Departamento,25000.0,ARS,68,3
522,2020_04_25,-34.583762,-58.420074,https://departamento.mercadolibre.com.ar/MLA-850252408-departamentos-alquiler-palermo-soho-_JM,Departamentos Alquiler Palermo Soho,Departamento,25000.0,ARS,68,3
523,2020_04_25,-34.5968032,-58.4236267,https://departamento.mercadolibre.com.ar/MLA-850252568-departamentos-alquiler-almagro-_JM,Departamentos Alquiler Almagro,Departamento,25000.0,ARS,64,3
